id,x,y
GEM_65_3,0.07668098,6.8267336
GEM_68_53,5.343334,7.019213
GEM_71_1,16.542221,6.296088
GEM_72_10,17.556639,6.9131045
GEM_75_5,11.511256,7.4517136
GEM_86_14,2.6839125,6.741471
GEM_89_10,1.5950482,6.6288996
GEM_93_6,3.89852,6.5754843
GS_98_2_GM,3.1146297,6.350287
VII_59_512_x,11.848818,7.694729
VII_59_514_x,-0.014308452,7.6729255
VII_59_515_x,5.084772,5.8969383
VII_59_742_x,13.932189,6.995165
VII_59_744_x,1.8869394,4.688153
VII_59_950_x,2.608338,7.4478097
VII_60_282_x,16.06663,4.0167084
VII_60_662_x,-0.34744456,7.3762684
VII_77_1_x,15.76961,5.0918055
VII_95_95_x,-0.55918705,7.6625047
GEM_75_20,11.808699,5.8143053
GEM_74_11,4.8860917,6.1670446
GEM_78_1,-0.66448087,7.2355113
GEM_79_44,-0.72749233,8.139992
GEM_84_2,0.5192105,5.5796833
GEM_88_4,0.48274812,6.2029824
VII_59_497_x,5.607969,6.7715282
VII_59_513_x,12.697273,7.6734943
VII_59_773_x,13.739513,7.54405
VII_61_703_x,1.5077517,6.9396853
GEM_70_2,4.7989073,6.461415
VII_59_940_x,0.9835502,6.517245
VII_60_527_x,10.683116,6.446176
GEM_88_41,17.293892,6.2044077
VII_60_132_x,0.9095658,6.302182
GEM_64_9,17.355463,6.7955465
GEM_66_12,11.859997,6.163503
GEM_68_25,16.72779,5.802396
GEM_69_17,14.901658,6.442022
GEM_71_5,9.467588,7.693554
GEM_73_2,11.824945,6.9908996
GEM_76_10,16.300022,4.480906
GEM_76_31,0.18853693,7.308663
GEM_80_17,9.784589,7.2489266
GEM_80_2,13.127879,6.8334293
GEM_80_3,5.968661,6.7144465
GEM_84_9,6.864041,6.7569637
GEM_85_2,4.165223,6.1250615
GEM_86_35,7.2795386,6.9211507
GS_08_5_GM,12.42699,6.0198784
SM_2012-1240_KOU,3.076231,6.1554804
VII_59_234_x,16.146233,6.9050646
VII_59_249_x,11.023163,6.0474386
VII_59_745_x,12.255428,8.023718
VII_59_830_x,2.857958,5.8826156
VII_59_841_x,16.596115,4.539347
VII_60_110_x,3.1103342,7.228631
VII_60_273_x,12.374293,7.377997
GEM_64_3,2.051175,5.0221615
GEM_66_21,6.1025777,5.9827943
GEM_66_22,7.6183643,6.8176417
GEM_66_3,7.369181,6.554672
GEM_67_2,10.934413,7.0500183
GEM_68_14,16.20806,6.2205477
GEM_68_43,11.056582,8.1585655
GEM_69_26,2.829109,4.7888184
GEM_72_16,2.2476528,7.338481
GEM_73_13,2.4135666,5.6559243
GEM_74_10,6.6666903,6.6177135
GEM_74_4,14.517212,6.99442
GEM_75_19,6.3860073,7.055352
GEM_75_7,9.626965,6.803809
GEM_78_5,16.962942,7.576331
GEM_80_32,0.012730109,6.03967
GEM_81_1,15.977595,4.688104
GEM_81_12,1.457561,5.6765165
GEM_81_8,16.455135,5.6303906
GEM_86_54,13.294141,5.9769506
GEM_86_6,4.657641,6.7582583
GEM_87_2,16.385122,3.994667
GEM_87_8,0.97768044,7.5959935
GEM_88_14,-1.0864353,7.8777795
GEM_88_7,11.87165,6.674633
GEM_88_9,8.981918,6.8183312
GEM_89_24,4.57356,5.410227
GEM_89_25,11.498077,6.4288154
GS_07_35_GM,10.409092,8.111049
GS_08_2_GM,13.720129,6.279824
SM_2011-2687,1.5635978,7.309822
SM_2012-0158,2.6092186,5.0134945
SM_2018-09251,-0.837866,8.032929
VII_59_235_x,16.624683,7.265857
VII_59_237_x,12.79092,6.955496
VII_59_259_x,16.951368,6.680244
VII_59_261_x,8.624076,7.2562943
VII_59_267_x,11.293268,6.863295
VII_59_433_x,0.2521276,6.007953
VII_59_483_x,4.274453,6.010601
VII_59_747_x,15.392033,5.904468
VII_59_749_x,10.931015,8.095175
VII_59_758_x,15.950323,5.091225
VII_59_761_x,2.459706,4.879436
VII_59_775_x,14.154056,6.524918
VII_59_806_x,2.5187888,5.288084
VII_59_849_x,14.282635,7.3364973
VII_59_869_x,16.708776,4.06435
VII_60_111_x,12.977968,6.0374756
VII_60_203_x,3.6306167,5.2200556
VII_60_286_x,12.969489,7.759125
VII_61_454_x,8.372236,7.0242815
VII_62_195_x,11.538208,8.025886
VII_65_1443_x,10.24006,7.3351836
VII_75_130_x,10.4419985,6.1909146
GEM_86_15,1.4726611,7.8606596
GEM_89_11,1.3294963,5.046937
GS_2000_28_GM,16.527773,3.7607522
GEM_80_7,-0.9472974,7.1502085
GEM_84_1,16.828493,4.2590895
VII_59_463_x,1.8323096,5.855167
VII_59_804_x,14.720173,6.863171
VII_59_809_x,-1.0425972,7.4927764
VII_60_411_x,2.017332,6.927291
GEM_70_3,6.739779,6.2624516
GEM_91_11,17.137959,7.2250047
VII_59_777_x,10.936533,5.8170967
VII_60_165_x,16.777515,6.4377384
VII_60_230_x,15.663302,5.2331834
GEM_89_3,17.211048,7.490594
