id,keywords,year,_title,_creation,_artist,_collection,_sitelinks
Q12418,"Lisa del Giocondo, armrest, body of water, bridge, figure, landscape, mountain, sky",1500,Mona Lisa,1503-1506,Leonardo da Vinci,Department of Paintings of the Louvre,142
Q45585,"Alpilles, Cupressus, Moon, Saint-Rémy-de-Provence, cloud, night, sky, star",1880,The Starry Night,1889,Vincent van Gogh,Museum of Modern Art,75
Q175036,"Bombing of Guernica, Spanish Civil War",1930,Guernica,1937,Pablo Picasso,Museo Nacional Centro de Arte Reina Sofía,69
Q185372,"beauty, earring, girl, pearl, scarf",1660,Girl with a Pearl Earring,1665,Johannes Vermeer,Mauritshuis,69
Q29530,Marianne,1830,Liberty Leading the People,1830,Eugène Delacroix,Department of Paintings of the Louvre,65
Q219831,"Dutch Civic Guard, Frans Banning Cocq, Willem van Ruytenburch",1640,The Night Watch,1642,Rembrandt,Rijksmuseum,58
Q151047,"Aphrodite, Horae, Venus, Zephyrus, angel, birth, birth of Aphrodite, coastline, flowering plant, half shell, navel, rose, sea, seashell, shore, sky, tree, waist-length hair, wind, woman",1480,The Birth of Venus,1480-1485,Sandro Botticelli,Uffizi Gallery,56
Q208758,"Diego Velázquez, Infante of Spain, José Nieto Velázquez, Marcela de Ulloa, Margaret Theresa of Spain, Mari Bárbola, Maria Agustina Sarmiento, Mariana of Austria, Nicolasito Pertusato, Philip IV of Spain, Spanish Mastiff, bodyguard, canvas, dog, door, dwarf, man, mirror, nun, painting, palette, room, royalty, woman",1650,Las Meninas,1656,Diego Velázquez,Museo del Prado,56
Q154469,"Antonie van Rooij, Cornelia van Rooij, Francis van Rooij, Gordina de Groot, eating, family, potato",1880,The Potato Eaters,1888,Vincent van Gogh,Van Gogh Museum,51
Q474338,"Cecilia Gallerani, Mustela erminea, Mustela putorius furo, woman",1490,Lady with an Ermine,1490,Leonardo da Vinci,Czartoryski Museum,50
Q328523,"Port of Le Havre, Sun, aerial perspective, barque, contre-jour, crane, fisher, flue-gas stack, haze, light source, mast, morning, sailboat, sea, sky, smoke, specular reflection, sunrise",1870,"Impression, Sunrise",1872,Claude Monet,Musée Marmottan Monet,50
Q334138,"Constance Quéniaux, abdomen, areola, bed, bed sheet, female breast, lower leg, lying, navel, nipple, nudity, pubic hair, thigh, vulva, woman",1860,L'Origine du monde,1866,Gustave Courbet,Musée d'Orsay,50
Q698487,"flower, kiss, lovers' embrace, man, woman",1900,The Kiss,1907-1908,Gustav Klimt,Belvedere,49
Q321303,"Adam and Eve, Anura, Bible, Dracaena draco, Garden of Eden, Giraffa, God, God in Christianity, Psalm 33, bird, camel, cherry, cloud, creation, crown, donkey, elephant, garden, heaven, hell, horse, house mouse, human, lake, lawn, lion, owl, peafowl, rabbit, rock, sea, snake, sphere, strawberry, tree, unicorn",1490,The Garden of Earthly Delights,1490-1500,Hieronymus Bosch,Museo del Prado,48
Q1752990,"Conium maculatum, Socrates, bed, chain, forced suicide, man, robe, sadness, scroll, stairs, suicide, torch, trial of Socrates",1780,The Death of Socrates,1787,Jacques-Louis David,Metropolitan Museum of Art,48
Q311243,sea of clouds,1810,Wanderer above the Sea of Fog,1818,Caspar David Friedrich,Hamburger Kunsthalle,47
Q212616,"Méduse, agony, corpse, lying, raft, sea, sitting, standing",1810,The Raft of the Medusa,1819,Théodore Géricault,Department of Paintings of the Louvre,46
Q1892745,"Jesus, Salvator Mundi, man, orb",1490,Salvator Mundi,1490,Leonardo da Vinci,Louvre Abu Dhabi,46
Q152867,naked woman,1800,La maja desnuda,1800,Francisco Goya,Museo del Prado,45
Q464782,"American Gothic House, Byron H. McKeeby, Nan Wood Graham, apron, blond hair, couple, dress shirt, gaze towards the viewer, glasses, hair loss, house, jacket, man, overalls, part, peasant, pitchfork, sky, tree, waist-length hair, window, woman",1930,American Gothic,1930,Grant Wood,Art Institute of Chicago,44
Q661378,"Nicolaes Tulp, anatomy, lesson, medicine, physician, student",1630,The Anatomy Lesson of Dr. Nicolaes Tulp,1632,Rembrandt,Mauritshuis,44
Q1091086,"Death, Dos de Mayo Uprising, execution by firing squad, oil lamp, rebel, rifle, soldier",1810,The Third of May 1808,1814,Francisco Goya,Museo del Prado,44
Q152509,"Eugène Manet, Ferdinand Leenhoff, Pyrrhula, Victorine Meurent, assistive cane, barefoot, barque, basket, basketry, bathing, bread, broad-leaved tree, brown hair, cherry, clothed male, naked female, clothing, dress, fruit, gaze towards the viewer, goldsmithing, grass, hat, headgear, herb, hip, malleolus, man, nudity, physical container, picnic, sitting, straw hat, toe, tree, understory, watercourse, woman, woodland",1860,Luncheon on the Grass,1863,Édouard Manet,Musée d'Orsay,43
Q634122,"field, raven, sky",1890,Wheatfield with Crows,1890,Vincent van Gogh,Van Gogh Museum,43
Q2282256,"Iris, soil",1880,Irises,1889,Vincent van Gogh,J. Paul Getty Museum,43
Q683274,"Le Moulin de la Galette, Paris, Sunday, afternoon, ball, bar, beard, bench, blond hair, boater, bowler hat, broad-leaved tree, carafe, chair, choker, closed position, couple, crowd, cup, dance, dress, dress shirt, drink, earring, folk dance, girl, hat, jacket, man, necktie, partner dance, pendant, red hair, shadow, sitting, smile, standing, straw hat, streetlight, table, top hat, tree, trousers, vest, waist-length hair, windmill, woman",1870,Bal du moulin de la Galette,1876,Pierre-Auguste Renoir,Musée d'Orsay,42
Q167605,"apron, baseboard, basket, big chest, bread, bucket, coif, corsage, crock, drapery, heating pad, maid, milk, mirror, pitcher, platter, pumpernickel, skirt, table, tablecloth, wall, window",1660,The Milkmaid,1660,Johannes Vermeer,Rijksmuseum,42
Q220859,"Bruges, Giovanna Cenami, bed, bedroom, chandelier, coif, couple, dog, dress, hat, marriage, mirror, standing, window, woman",1430,Arnolfini Portrait,1434,Jan van Eyck,National Gallery,42
Q412,"Crab Pulsar, Pioneer 10, Solar System, Vela Pulsar, binary numeral system, distance, galactic disc, gravity assist, hydrogen, man, pulsar, spin, woman",1970,Pioneer plaque,1972,,,42
Q737062,"Laure, Victorine Meurent",1860,Olympia,1863,Édouard Manet,Musée d'Orsay,41
Q478271,"Correspondence between the Ottoman sultan and the Cossacks, Ivan Sirko, Zaporozhian Cossacks, bandage, blood, elderly people, hat, human, man, moustache, projectile weapon, smile, wrinkle",1890,Reply of the Zaporozhian Cossacks,1891,Ilya Repin,Russian Museum,40
Q549847,"Charites, Chloris, Citrus sinensis, Cupid, Demeter, Flora, Hermes, Mercury, Venus, Zephyrus, apple, arrow, flower, flowering plant, garden, gemstone, spring, sword, tree, woman",1480,Primavera,1480,Sandro Botticelli,Uffizi Gallery,40
Q476458,"Horatia gens, Oath of the Horatii, Publius Horatius, Roman salute, arcade, beard, blond hair, brick, brown hair, child, clothing in ancient Rome, crying, dress, elderly people, family, galea, man, mother, mourning, oath, paludamentum, sandal, seat, sitting, sorrow, spear, sword, tunic, vanishing point, veil, white hair, woman",1780,The Oath of the Horatii,1784-1785,Jacques-Louis David,Department of Paintings of the Louvre,39
Q727875,"Aphrodite, Toilet of Venus, Venus, bed, bed sheet, bouquet, bracelet, cassone, chest, column, cushion, dog, domestic worker, earring, female breast, flower, kneeling, masturbation, mattress, naked woman, navel, nipple, plant, ring, sky, standing, tapestry, titian hair, tree, twilight, waist-length hair, wall, window",1530,Venus of Urbino,1538,Titian,Uffizi Gallery,39
Q523974,"Delft, Kolk, Nieuwe Kerk Delft, Rotterdamse Poort, Schiedamse poort, cloud, port, sky, specular reflection, trekschuit, trekvaart",1660,View of Delft,1660-1661,Johannes Vermeer,Mauritshuis,39
Q636537,"1793, Jean-Paul Marat, July 13, agony, bathing, bathtub, blood, corpse, drapery, headgear, inkwell, knife, letter, man, murder, nudity, quill, sitting, washing, wound, writing case",1790,The Death of Marat,1793,Jacques-Louis David,Royal Museums of Fine Arts of Belgium,39
Q83872,"Greenwich Village, cigarette, coffee cup, coffeehouse, coffeemaker, diner, lunch counter, napkin holder, salt and pepper shaker, salt shaker, sidewalk, stool, storefront, swing door, window",1940,Nighthawks,1942,Edward Hopper,Art Institute of Chicago,38
Q500985,"bell tower, bird, bridge, chimney, cuisine, curling, dog collar, fire, fox, game, house, hunter, hunting dog, ice, ice hockey, ice skating, inn, lake, meander, mountain, raven, river, sky, snow, spear, valley, watermill, winter",1560,The Hunters in the Snow,1565,Pieter Brueghel the Elder,Kunsthistorisches Museum,38
Q1464531,"Arles, Rhône, Ursa Major, couple, mirror image, night",1880,Starry Night Over the Rhone,1888,Vincent van Gogh,Musée d'Orsay,38
Q1025704,"Arles, La Cité, chair, coffeehouse, gas burner, human, lamp, night, platform, sett, sky, star, table, tree",1880,Café Terrace at Night,1888,Vincent van Gogh,Kröller-Müller Museum,38
Q1245354,"Folies Bergère, beer, gaze towards the viewer, woman",1880,A Bar at the Folies-Bergère,1882,Édouard Manet,Courtauld Gallery,38
Q734834,"Adam, Annunciation, Eve, Holy Spirit, John the Baptist, John the Evangelist, Lamb of God, Mary, angel, woman",1430,Ghent Altarpiece,1432,Jan van Eyck,St Bavo's Cathedral,37
Q563727,"Christ Child, Mary, Saint Anne, Virgin and Child with Saint Anne, arm, drapery, lamb, landscape, tree",1500,The Virgin and Child with Saint Anne,1503-1519,Leonardo da Vinci,Department of Paintings of the Louvre,37
Q604761,"Jonathan Buttall, boy, breeches, collar, doublet, feather, hat, ribbon, satin, shoe, tree",1770,The Blue Boy,1770,Thomas Gainsborough,"The Huntington Library, Art Museum, and Botanical Gardens",37
Q1213917,"Auvers-sur-Oise, church building, flower, herb, lawn, path, sky, woman, église Notre-Dame-de-l'Assomption d'Auvers-sur-Oise",1890,The Church at Auvers,1890,Vincent van Gogh,Musée d'Orsay,37
Q328079,"Christ Child, Mary, Sixtus II, angel, boy, mother",1510,Sistine Madonna,1512-1513,Raphael,Staatliche Kunstsammlungen Dresden,36
Q500812,"Aphrodite, Venus, arches of the foot, armpit, bed sheet, broad-leaved tree, brown hair, city, cloud, drapery, female breast, hill, house, lying, mons pubis, naked woman, navel, nipple, rural area, sky, sleeping",1500,Sleeping Venus,1508-1510,Giorgione,Staatliche Kunstsammlungen Dresden,36
Q674846,"billiard table, clock, coffeehouse, lamp",1880,The Night Café,1888,Vincent van Gogh,Yale University Art Gallery,36
Q533619,"Belling the Cat, Dutch proverbs, The Blue Cloak",1550,Netherlandish Proverbs,1551,Pieter Brueghel the Elder,Gemäldegalerie,36
Q175628,"Volga, barefoot, beard, blond hair, brown hair, cloud, footwrap, group of humans, handlebar moustache, hat, job activity, man, pipe, proletariat, sailing ship, sky, towpath, walking, white hair",1870,Barge Haulers on the Volga,1870,Ilya Repin,Russian Museum,36
Q1926628,"Sun, carriage, farmer, house, human, landscape, river, vineyard, wheelbarrow",1880,The Red Vineyard,1888,Vincent van Gogh,Pushkin Museum of Fine Arts,36
