keywords,year,_material,_height,_width,_time,_description,id
"sketch,drawing",1890,chalk on paper,850,1340,1890,Contours of a Figure,db57c17d-0cb7-4048-8e95-74d969d8b7a7
"Paris,painting,study,Still Life",1886,oil on cardboard,2700,3500,1886,Male Torso,972dc0d8-e05f-443b-90e3-9a4aa437dc9b
"Paris,painting,study,Still Life",1887,oil on canvas,2710,4080,1887,Plaster Cast of a Woman&#39;s Torso,91bd6b75-fbbd-4319-8b8b-e7a4f4853ccf
"Nuenen,sketch,drawing",1884,pencil on paper,750,1240,1884 - 1885,Head of a Man,814d3d6c-afea-470a-b597-ef5ba49eb98b
"Nuenen,sketch,drawing",1884,pencil on paper,750,1240,1884 - 1885,Head of a Woman and an indistinct image,dc256110-8a5e-4990-a627-99209b8ffe37
"Arles,painting,Cityscape",1888,oil on canvas,9150,7200,1888,The Yellow House (The Street),e9388d8a-4140-4cc5-a4cd-f126ad58b012
"Auvers-sur-Oise,drawing,Animals",1890,pencil on paper,4370,2690,1890,Horse and Carriage,0b74a654-4a4b-4b6f-8495-87a483ec9a82
"Saint-Rémy-de-Provence,painting,Figures,Peasant Life",1889,oil on canvas,2800,4200,1889,Thresher (after Millet),5c9f429e-a5c0-4a1d-a3e3-10a3bb9637ce
"Saint-Rémy-de-Provence,drawing,Figures,Animals,Peasant Life",1889,chalk on paper,2470,3300,1889,Study of Horses and Peasants,13639afb-6349-489a-8152-2cb64e69376a
"Saint-Rémy-de-Provence,drawing,landscape",1890,pencil on paper,3290,2490,1890,The Walled Wheatfield,46960944-a6e2-49a9-94ef-9f1ef0751589
"Saint-Rémy-de-Provence,drawing,Figures,Peasant Life",1890,chalk on paper,2730,2390,1890,Man Working in a Field,889a3b96-f3ef-4427-a553-7e356d578f64
"Paris,drawing,Cityscape",1887,pencil,2410,3160,1887,Shed with Sunflowers,c6b20c92-f6da-474e-adc7-46d72a781cd6
"The Hague,print,Figures",1882,lithography,2700,4280,1882,Old Man Drinking Coffee,0ad0cb5f-7c16-43e7-a605-ca30ba61c605
"Nuenen,sketch,drawing",1884,chalk on paper,750,1240,1884 - 1885,Head of a Woman,83da3869-9a30-4646-b467-6a58d9ffc375
"sketch,drawing",1890,chalk on paper,850,1340,1890,Contours of a figure,c91194a7-f117-46bd-8668-ead62ee695e3
"The Hague,drawing,Animals",1883,pencil,6350,5100,1883,Old Nag,1e83d4de-a660-4842-8753-0892047b3bbc
"The Hague,print,Figures",1882,lithography,3150,4800,1882,A Workman&#39;s Meal Break,cf696b4b-ab7f-4569-a148-8759e0bf8f0e
"Saint-Rémy-de-Provence,painting,landscape,Nature",1889,oil on canvas,6430,4900,1889,Undergrowth,61d2f0c1-c21a-45bb-9b5f-8a9809087501
"Auvers-sur-Oise,drawing,Townscape,landscape",1890,pencil,5440,4400,1890,Landscape with Houses,851ec99a-b770-4ee5-a98d-4661126105a9
"Antwerp,drawing,interior",1885,chalk on paper,1630,920,1885,Couple Dancing,8cfb287d-7f94-4bad-a1b4-9185bf84602e
"The Hague,drawing,Figures,Heads",1882,pencil,2800,5010,1882 - 1883,Head of a Woman,ab0ec6d5-4ea5-441f-807f-f724b8933456
"Paris,painting,Self-Portrait",1887,oil on canvas,3130,4320,1887,Self-Portrait,1bd6411a-5d6c-40ea-a897-210d12364b28
"Arles,painting,Still Life",1889,oil on canvas,7300,9500,1889,Sunflowers,f412250b-68e5-453c-80cd-bc83c0168c8d
"Etten,drawing,Figures",1881,pencil,2420,3080,1881,Study of a Hand,fdb8b70a-bc04-4680-b5a7-3a87e642a40f
"sketch,drawing",1890,pencil on paper,850,1340,1890,Standing Girl,a2bbfb33-e81f-4bb6-ac80-6c5ecbd06e3a
"1871 - 1880,The Hague,drawing,Cityscape",1872,pencil,1690,2220,1872 - 1873,"Lange Vijverberg, The Hague",5bbc2368-1461-47e5-b7b6-36167de7436b
"Nuenen,drawing,Still Life",1885,chalk on paper,2100,3450,1885,"Clock, Clog with Cutlery and a Spoon Rack",b48991c4-5ec5-4cc8-9b14-e9a68f412a6d
Paris,1886,chalk on paper,1980,1090,1886,Note,415c5ade-8b62-4f4b-a59a-1d5c4b402362
"1871 - 1880,Brussels,drawing,study,Portrait",1880,pencil on paper,3050,4260,1880 - 1881,The Daughter of Jacob Meyer (after Bargue after Holbein),7c262ae9-2af2-467e-89ca-45ca84d82f95
"Arles,painting,Cityscape,landscape",1888,oil on canvas,7360,5960,1888,The Langlois Bridge,c82c2fcd-90e8-4de6-b23d-f28c2af907d6
"Auvers-sur-Oise,drawing,Townscape",1890,chalk on paper,2370,3100,1890,Village Street,9762d6b4-703b-41e7-86fe-9ac41d651b81
"sketch,drawing",1890,chalk on paper,850,1340,1890,Woman on a Velocipede,15e349e1-283f-498a-9fdb-f838459fccd8
"Paris,painting,Self-Portrait",1886,oil on canvas,3800,4600,1886,Self-Portrait with Pipe,d3cefed7-c8a2-4e6c-b5de-be5371c864c1
"Paris,drawing,Animals",1887,pencil,2620,3530,1887,Barn Owl Viewed from the Front,28bcf9d3-59cb-41ea-8b1a-2d3f6ee4ef4a
"sketch,drawing",1890,chalk on paper,850,1340,1890,Mother and Child,9c324a56-5171-4c75-aaa7-cfe1c138f728
"Nuenen,sketch,drawing",1884,chalk on paper,750,1240,1884 - 1885,Hand,c5cc2e28-6984-467b-bbae-d07fde25d6f7
"Nuenen,drawing,Figures",1885,chalk on paper,2080,3470,1885,Woman with a Mourning Shawl,72842924-a5b2-4c56-9ff5-1e7875cb0dc7
"Paris,painting,Cityscape,landscape",1887,oil on canvas,6530,4940,1887,By the Seine,a4860a58-f08a-43e4-a775-0ed0a4cebf7b
"Saint-Rémy-de-Provence,drawing,Animals",1889,chalk,2100,1350,1889,Giant Peacock Moth and Beetle,fe92ada4-a0d9-4721-9a4f-c9b4e9e262f1
